Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,May,Q2,New Customer,Outbound,Not Defined,1650
2014,May,Q2,New Customer,Outbound,High Technology,97055
2014,May,Q2,New Customer,Inbound,Financial Services,10500
2014,May,Q2,New Customer,Outbound,Media & Entertainment,7789950
2014,May,Q2,New Customer,Outbound,0,3004
2014,May,Q2,New Customer,Outbound,Financial Services,1500
2014,May,Q2,New Customer,Outbound,0,0
2014,May,Q2,New Customer,Outbound,Media & Entertainment,5224
2014,May,Q2,New Customer,Inbound,Consumer Goods,324000
2014,May,Q2,New Customer,Outbound,Retail,4163
2014,May,Q2,New Customer,Outbound,Retail,6800
2014,May,Q2,New Customer,Outbound,Media & Entertainment,0
2014,May,Q2,New Customer,Outbound,Gaming,11800
2014,May,Q2,New Customer,Outbound,Business Services,1000
2014,May,Q2,New Customer,Outbound,Financial Services,250000
2014,May,Q2,New Customer,Inbound,High Technology,2231
2014,May,Q2,New Customer,Outbound,Gaming,6274
2014,May,Q2,New Customer,Outbound,Media & Entertainment,1563
2014,May,Q2,New Customer,Outbound,Media & Entertainment,26318
2014,May,Q2,New Customer,Outbound,Retail,3000
2014,May,Q2,New Customer,Outbound,Manufacturing,2800
2014,May,Q2,New Customer,Inbound,Manufacturing,2865
2014,May,Q2,New Customer,Outbound,Manufacturing,2334
2014,May,Q2,New Customer,Outbound,Gaming,76930
2014,May,Q2,New Customer,Outbound,Consumer Goods,22000
2014,May,Q2,New Customer,Outbound,Software as a Service,3150
2014,May,Q2,New Customer,Outbound,High Technology,6250
2014,May,Q2,New Customer,Outbound,Business Services,4266
2014,May,Q2,New Customer,Inbound,Business Services,2000
2014,May,Q2,New Customer,Outbound,Manufacturing,2258
2014,May,Q2,New Customer,Outbound,Retail,2200
2014,May,Q2,New Customer,Outbound,Financial Services,285000
2014,May,Q2,Existing Customer,Outbound,Retail,62372
2014,May,Q2,Existing Customer,Outbound,High Technology,3125
2014,May,Q2,Existing Customer,Inbound,Retail,2825
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,48490
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,40706
2014,May,Q2,Existing Customer,Inbound,Financial Services,1188
2014,May,Q2,Existing Customer,Outbound,High Technology,17356
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,1575
2014,May,Q2,Existing Customer,Outbound,Retail,3000
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,501
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,143625
2014,May,Q2,Existing Customer,Outbound,Retail,2435
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,1048
2014,May,Q2,Existing Customer,Outbound,Hotel & Travel,6500
2014,May,Q2,Existing Customer,Outbound,Retail,6867
2014,May,Q2,Existing Customer,Inbound,Business Services,3000
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,2280
2014,May,Q2,Existing Customer,Outbound,Retail,1000
2014,May,Q2,Existing Customer,Outbound,Financial Services,800
2014,May,Q2,Existing Customer,Outbound,Financial Services,35703
2014,May,Q2,Existing Customer,Outbound,Financial Services,1800
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,400
2014,May,Q2,Existing Customer,Outbound,Media & Entertainment,2680
2014,May,Q2,Existing Customer,Outbound,Retail,6853
2014,May,Q2,Existing Customer,Outbound,Retail,4298
2014,June,Q2,0,Inbound,High Technology,1500
2014,June,Q2,0,Outbound,Gaming,25500
2014,June,Q2,0,Outbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Retail,3976
2014,June,Q2,0,Outbound,Financial Services,4166
2014,June,Q2,0,Outbound,Gaming,0
2014,June,Q2,0,Outbound,Media & Entertainment,3000
2014,June,Q2,0,Outbound,Retail,3491
2014,June,Q2,0,Inbound,High Technology,6523
2014,June,Q2,0,Inbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Manufacturing,18705
2014,June,Q2,0,Inbound,Business Services,1500
2014,June,Q2,0,Outbound,Gaming,374000
2014,June,Q2,0,Inbound,Retail,549990
2014,June,Q2,0,Outbound,High Technology,2036
2014,June,Q2,0,Inbound,Public Sector,900000
2014,June,Q2,0,Outbound,Hotel & Travel,90000
2014,June,Q2,0,Inbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,High Technology,1880
2014,June,Q2,0,Outbound,Retail,978
2014,June,Q2,0,Outbound,Gaming,100000
2014,June,Q2,0,Outbound,Gaming,5150
2014,June,Q2,0,Outbound,High Technology,1080
2014,June,Q2,0,Outbound,Manufacturing,1000
2014,June,Q2,0,Outbound,Consumer Goods,2000
2014,June,Q2,0,Outbound,Gaming,9000
2014,June,Q2,0,Inbound,Business Services,1000
2014,June,Q2,0,Outbound,Hotel & Travel,19382
2014,June,Q2,0,Outbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Miscellaneous,4726
2014,June,Q2,0,Outbound,Gaming,0
2014,June,Q2,0,Inbound,High Technology,1950
2014,June,Q2,0,Inbound,Business Services,3000
2014,June,Q2,0,Inbound,Media & Entertainment,5900
2014,June,Q2,0,Inbound,Media & Entertainment,2933
2014,June,Q2,New Customer,Outbound,Business Services,13333
2014,June,Q2,0,Inbound,Media & Entertainment,620500
2014,June,Q2,0,Outbound,Manufacturing,10163
2014,June,Q2,0,Inbound,Education,13650
2014,June,Q2,0,Outbound,Media & Entertainment,2550000
2014,June,Q2,0,Outbound,Business Services,100050
2014,June,Q2,0,Inbound,Business Services,3465
2014,June,Q2,0,Inbound,Pharma/Health Care,1000
2014,June,Q2,0,Outbound,Financial Services,4626500
2014,June,Q2,0,Outbound,Financial Services,6800
2014,June,Q2,0,Outbound,Retail,1943
2014,June,Q2,0,Outbound,High Technology,2063
2014,June,Q2,0,Outbound,Financial Services,1674
2014,June,Q2,0,Outbound,Business Services,1440
2014,June,Q2,0,Outbound,Software as a Service,4900
2014,June,Q2,0,Outbound,Gaming,188340
2014,June,Q2,0,Outbound,Gaming,0
2014,June,Q2,0,Outbound,Media & Entertainment,2524
2014,June,Q2,0,Outbound,Gaming,260000
2014,June,Q2,0,Outbound,Retail,9260
2014,June,Q2,0,Outbound,Financial Services,7000
2014,June,Q2,0,Outbound,Media & Entertainment,959
2014,June,Q2,0,Outbound,High Technology,13525
2014,June,Q2,0,Outbound,Retail,95975
2014,June,Q2,0,Inbound,Media & Entertainment,12000
2014,June,Q2,0,Outbound,Media & Entertainment,2167
2014,June,Q2,0,Outbound,Business Services,8665
2014,June,Q2,0,Outbound,Business Services,637
2014,June,Q2,0,Inbound,High Technology,2700
2014,June,Q2,0,Outbound,Media & Entertainment,1725
2014,June,Q2,0,Inbound,High Technology,1000
2014,June,Q2,0,Outbound,Retail,204750
2014,June,Q2,0,Inbound,Media & Entertainment,1000
2014,June,Q2,0,Inbound,High Technology,2900
2014,June,Q2,0,Outbound,High Technology,461100
2014,June,Q2,0,Outbound,High Technology,1266300
2014,June,Q2,0,Outbound,Consumer Goods,21300
2014,June,Q2,0,Outbound,Retail,7000
2014,June,Q2,0,Inbound,Hotel & Travel,159000
2014,June,Q2,0,Outbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Financial Services,22927
2014,June,Q2,0,Inbound,High Technology,13341
2014,June,Q2,0,Outbound,Manufacturing,5000
2014,June,Q2,0,Inbound,Media & Entertainment,0
2014,June,Q2,0,Inbound,Media & Entertainment,0
2014,June,Q2,0,Outbound,Business Services,1252506
2014,June,Q2,0,Outbound,Media & Entertainment,3715000
2014,June,Q2,0,Outbound,Retail,5500
2014,June,Q2,0,Outbound,Hotel & Travel,8095
2014,June,Q2,0,Inbound,Software as a Service,1000
2014,June,Q2,0,Outbound,Business Services,5000
